Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary_USD,Required_Education,Experience_Required_Years,Job_Openings_2024,Projected_Openings_2030,Remote_Work_Ratio_,Automation_Risk_,Location,Gender_Diversity_
Investment analyst,IT,Increasing,High,88213.47,Masters Degree,5,1515,6342,100,38.38,UK,44.63
"Journalist, newspaper",Manufacturing,Increasing,Moderate,102292.39,Masters Degree,15,1243,6205,53.45,60.6,USA,66.39
Financial planner,Finance,Decreasing,Moderate,54568.2,Bachelors Degree,4,3338,1154,77.31,72.82,Canada,41.13
Legal secretary,Healthcare,Decreasing,Moderate,81153.57,Associate Degree,15,7173,4060,67,42.8,Australia,65.76
Aeronautical engineer,IT,Increasing,Low,101439.9,Masters Degree,13,5944,7396,48.03,42.21,Germany,72.57
Legal secretary,Education,Decreasing,Low,86310.19,Masters Degree,20,6985,7832,39.87,51.19,USA,46.91
"Surveyor, insurance",Manufacturing,Decreasing,Moderate,45984.51,High School,7,9738,4360,53.64,69.96,UK,20.14
Dentist,Entertainment,Increasing,Moderate,41447.94,Associate Degree,0,1393,8206,65.57,64.3,Canada,59.27
Emergency planning/management officer,Education,Decreasing,High,38229.88,High School,12,7729,4452,62.7,85.98,Australia,60.56
Visual merchandiser,Manufacturing,Decreasing,Low,83534.91,Associate Degree,16,1127,2375,12.15,54.34,China,48.19
Emergency planning/management officer,Manufacturing,Decreasing,Low,72028.27,Bachelors Degree,17,4627,1684,48.74,53.97,China,34.83
Housing manager/officer,Entertainment,Increasing,High,41366.04,High School,12,2800,7964,62.91,75.35,UK,31.9
"Geologist, wellsite",Entertainment,Increasing,Moderate,94775.92,PhD,7,1852,3700,46.6,54.75,Australia,56.02
"Runner, broadcasting/film/video",Healthcare,Increasing,Low,80541.1,PhD,2,1824,7625,58.5,26.37,Australia,27.5
Press photographer,Entertainment,Decreasing,Low,67994.39,Masters Degree,3,8312,9700,65.77,46.49,India,56.06
"Biochemist, clinical",Entertainment,Increasing,Moderate,62072.7,Masters Degree,2,1872,5314,59.98,51.15,China,74.67
Town planner,Retail,Decreasing,High,40224.52,Associate Degree,11,7251,1090,60.34,88.97,UK,23.99
"Engineer, civil (consulting)",Healthcare,Increasing,High,77967.49,Associate Degree,17,1044,8832,50.41,80.12,India,56.12
Audiological scientist,Transportation,Increasing,Moderate,81241.21,Masters Degree,8,5379,8913,67.54,58.37,UK,38.87
"Clinical scientist, histocompatibility and immunogenetics",Manufacturing,Increasing,Low,66800.67,Masters Degree,2,2377,7307,67.9,25.58,India,56.57
Music therapist,Education,Increasing,High,29955.45,High School,4,2661,5588,62.81,90.41,India,34.19
Advertising copywriter,Retail,Decreasing,Moderate,72681.32,Bachelors Degree,14,7291,7469,67.96,51.14,Brazil,74.45
Commercial horticulturist,Education,Decreasing,Moderate,63030.53,Associate Degree,14,5892,369,67.78,77.08,UK,56.8
